sampleid	GEN_sex
10317.000047411	male
10317.000046355	female
10317.000042590	female
10317.000036431	male
10317.000053344	female
10317.000028581	female
10317.000050273	female
10317.000049955	female
10317.000052055	female
10317.000050155	male
10317.000051210	female
10317.000058471	female
10317.000058475	female
10317.000058478	female
10317.000041592	female
10317.000046274	male
10317.000046271	female
10317.000054197	male
10317.000042644	female
10317.000052369	female
10317.000029582	female
10317.000039913	female
10317.000039912	male
10317.000044292	female
10317.000047680	female
10317.000047681	female
10317.000046321	female
10317.000038251	female
10317.000030469	female
10317.000030466	female
10317.000016493	male
10317.000053429	female
10317.000035414	male
10317.000046215	male
10317.000059172	male
10317.000053482	female
10317.000046317	male
10317.000042660	female
10317.000022433	male
10317.000020353	male
10317.000050194	male
10317.000037929	female
10317.000036950	female
10317.000047692	female
10317.000047695	female
10317.000047694	male
10317.000030145	female
10317.000041956	male
10317.000037516	male
10317.000038316	female
10317.000026499	female
10317.000041730	male
10317.000053472	female
10317.000039984	male
10317.000039980	female
10317.000041678	female
10317.000051557	male
10317.000051558	male
10317.000042845	male
10317.000042847	female
10317.000042846	male
10317.000046326	male
10317.000053343	male
10317.000032735	female
10317.000050184	female
10317.000046121	female
10317.000053419	female
10317.000053417	female
10317.000038307	female
